FullID,Population,IndID,AB10Freq,ab10round,Species,Region,Group,Altitude,1C_GS,Total_Reads,Total_corr,180knobreads,180knob%,180knobMB,180knobuncorMB,TR1total,TR1%,TR1MB,TR1uncorMB,CentCreads,CentC%,CentCMB,CentCuncorMB,Cpreads,CP%,CPMB,CPuncorMB,mtreads,mt%,mtMB,mtuncorMB,cDNAreads,cDNA%,cDNAMB,cDNAuncorMB,TotallTereads,TotallTe%,TotallTeMB,TotallTeuncorMB,TotFTereads,TotFTe%,TotFTeMB,TotFTeuncorMB,CRMallreads,CRMall%,CRMallMB
RIMMA0466.1,RIMMA0466,1,0,0,mays,SAH,1,3600,2.875,1035623,947846.6667,10091,1.064623673,30.60793061,28.01369321,1767,0.186422558,5.359648537,4.905380626,4599,0.485205061,13.94964551,12.76731494,94390,9.95836176,286.3029006,262.0367161,34979,3.690364827,106.0979888,97.10543798,52797.33333,5.570239912,160.1443975,146.5710334,655773,69.18555744,1989.084776,1820.495851,170243,15990908.74,516.3795392,472.6127413,3488.666667,0.368062345,10.58179241
RIMMA0467.1,RIMMA0467,1,0,0,mays,SAH,1,2800,2.76,1131998,1041680.167,8243,0.791317745,21.84036975,20.09780936,1449,0.139102197,3.839220644,3.532903768,3231,0.31017198,8.560746653,7.877717098,89757,8.616560329,237.8170651,218.8425421,32319,3.102583791,85.63131262,78.79911449,57998.83333,5.567815841,153.6717172,141.4108329,701709,67.36319097,1859.224071,1710.883623,172401,21786570.72,456.7877696,420.3424034,3431.833333,0.32945173,9.092867754
RIMMA0468.1,RIMMA0468,1,0,0,mays,SAH,1,3150,2.77,876259,786087,6427,0.817593981,22.64735328,20.31681272,1260,0.160287602,4.439966569,3.983068933,3199,0.406952411,11.27258179,10.11256946,128043,16.28865507,451.1957455,404.7651551,47144,5.997300553,166.1252253,149.0300014,43028,5.473694388,151.6213345,136.0186429,518708,65.98608042,1827.814428,1639.722,133558,16335492.07,470.6294087,422.1989845,2730.333333,0.347332208,9.62110216
RIMMA0473.1,RIMMA0473,1,0,0,mays,SAH,1,3104,2.75,1458848,1326851.333,8650,0.651919306,17.92778091,16.30567407,1967,0.148245696,4.076756652,3.707891432,6715,0.506085334,13.91734668,12.6581042,140390,10.58068801,290.9689204,264.6420326,54525,4.109352618,113.007197,102.7822981,77471.66667,5.838760132,160.5659036,146.0378897,916324,69.06003536,1899.150972,1727.315663,235107,36063819.24,487.277085,443.1882211,4950,0.373063649,10.25925035
RIMMA0614.1,RIMMA0614,1,0.714285714,1,mays,MH,1,2060,3.04,900171,824659.5,72391,8.778289706,266.8600071,244.474261,1292,0.156670723,4.762789976,4.36325987,2896,0.351175243,10.67572738,9.780186209,68153,8.264380632,251.2371712,230.1619581,30310,3.675456355,111.7338732,102.3609959,45201.5,5.481231951,166.6294513,152.6516184,560471,67.96392936,2066.103452,1892.786859,158303,1803346.726,583.5634222,534.6107795,2352.666667,0.285289464,8.672799703
RIMMA0615.1,RIMMA0615,1,0,0,mays,ML,1,152,2.95,878433,810493,63554,7.841400234,231.3213069,213.4303925,7145,0.88156221,26.00608519,23.99471559,2760,0.340533478,10.04573759,9.268777471,60830,7.505308497,221.4066007,204.2825122,24667,3.043456267,89.78195987,82.83801952,43273,5.339096081,157.5033344,145.3216694,552191,68.13026146,2009.842713,1854.39692,161559,2060333.552,588.0359855,542.5559491,2748.5,0.339114588,10.00388035
RIMMA0616.1,RIMMA0616,1,0,0,mays,MH,1,1800,3.105,1141124,1060251,86796,8.186363418,254.1865841,236.1720374,7847,0.740107767,22.98034616,21.35169797,4176,0.393868999,12.22963242,11.36290184,62166,5.863328589,182.0563527,169.1537729,26431,2.492900266,77.40455326,71.91878797,54442,5.134821849,159.4362184,148.1367581,713230,67.26992005,2088.731017,1940.699828,196592,2401457.032,575.7298602,534.927107,3238.5,0.30544654,9.484115082
RIMMA0619.1,RIMMA0619,1,0,0,mays,ML,1,747,3.02,1237978,1134779,71869,6.333303665,191.2657707,175.3216778,7576,0.667618981,20.16209324,18.48136235,4952,0.436384529,13.17881279,12.08021467,102682,9.048634139,273.268751,250.4888132,43493,3.832728663,115.7484056,106.0995107,59706,5.261465008,158.8962432,145.6505043,770954,67.93869115,2051.748473,1880.712807,219662,3468363.616,584.5889288,535.8570508,3832.499999,0.337730959,10.19947496
RIMMA0620.1,RIMMA0620,1,0,0,mays,MH,1,1799,2.99,735468,674844.3333,58394,8.652958485,258.7234587,237.3972219,5788,0.857679277,25.64461039,23.53075865,2291,0.339485699,10.15062239,9.313919844,61688,9.141071052,273.3180245,250.7887767,26826,3.975138958,118.8566548,109.059456,33797.66667,5.00821671,149.7456796,137.4023388,456493,67.64419251,2022.561356,1855.844265,136728,1580130.082,605.7941066,555.8592896,2490.333333,0.369023375,11.03379891
RIMMA0621.1,RIMMA0621,1,1,1,mays,MH,1,1870,3.015,790645,741271.6667,67587,9.117709881,274.8989529,257.7323641,7372,0.994507187,29.98439169,28.11195922,3064,0.413343736,12.46231364,11.68408072,30506,4.115360315,124.0781135,116.3298193,11600,1.564878373,47.18108296,44.23477035,37773.33333,5.095747623,153.6367908,144.0426487,498099,67.19520284,2025.935366,1899.421972,141851,1555774.442,576.9554999,540.9264145,2099.5,0.283229495,8.539369281
