FullID,Population,IndID,PopName,AB10Freq,ab10round,Species,Region,Group,Altitude,1C_GS,GS_bp,Total_Reads,Total_corr,180knobreads,180knob%,180knobbp,TR1total,TR1%,TR1bp,CentCreads,CentC%,CentCbp,Cpreads,CP%,CPbp,mtreads,mt%,mtbp,cDNAreads,cDNA%,cDNAbp,TotallTereads,TotallTe%,TotallTebp,TotFTereads,TotFTe%,TotFTebp,Gsnoknob,GSno180,GSnoTR1
RIMMA0439.1,RIMMA0439,1,NA,0,0,mays,SAH,1,2900,2.65,2591700000,1504510,1361130.833,14026,1.030466701,26706605.5,1359,0.099843451,2587642.726,6402,0.470344205,12189910.77,176595,12.97413854,336250748.5,65106,4.783228651,123966937,78273.16667,5.750598308,149038256.3,915854,67.28625769,1743857941,235994,22901661.91,449351109.3,2562405752,2564993394,2589112357
RIMMA0441.1,RIMMA0441,1,NA,0,0,mays,ML,1,1320,2.8,2738400000,1469640,1374159.5,29434,2.14196387,58655538.6,4355,0.316920998,8678564.606,5725,0.416618304,11408675.63,49697,3.616537964,99035275.6,19061,1.387102443,37984413.31,76419.5,5.561181217,152287386.4,964159,70.16354361,1921358478,244075,11394916.76,486388210.4,2671065897,2679744461,2729721435
RIMMA0462.1,RIMMA0462,1,NA,0,0,mays,SAL,1,1700,3.065,2997570000,1431100,1338243,103906,7.764359687,232742116.7,5017,0.374894545,11237726.4,3114,0.232693166,6975140.524,114909,8.58655715,257388061.2,49562,3.70351274,111015386.8,43295,3.23521214,96977748.55,879706,65.735894,1970479438,241216,3106708.212,540306839,2753590157,2764827883,2986332274
RIMMA0464.1,RIMMA0464,1,NA,0,0,mays,SAH,1,1800,2.735,2674830000,515752,470662.5,7604,1.615595039,43214420.78,1268,0.269407484,7206192.208,2256,0.479324357,12821111.69,54254,11.52715587,308331823.4,18450,3.920006374,104853506.5,26639.5,5.660000531,151395392.2,316862,67.32255066,1800763782,82927,5132907.567,471283833.8,2624409387,2631615579,2667623808
RIMMA0465.1,RIMMA0465,1,NA,0,0,mays,SAH,1,2300,2.86,2797080000,808164,742592.1667,5905,0.795187489,22242030.2,950,0.127930248,3578311.379,3054,0.411262081,11503329.42,62326,8.393032245,234759826.3,23318,3.140081602,87830594.46,42253.83333,5.690045658,159155129.1,519007,69.89125704,1954914373,132631,16679211.12,499573701.6,2771259658,2774837970,2793501689
RIMMA0466.1,RIMMA0466,1,NA,0,0,mays,SAH,1,3600,2.875,2811750000,1035623,947846.6667,10091,1.064623673,29934556.13,1767,0.186422558,5241736.269,4599,0.485205061,13642753.31,94390,9.95836176,280004236.8,34979,3.690364827,103763833,52797.33333,5.570239912,156621220.7,655773,69.18555744,1945324911,170243,15990908.74,505019189.4,2776573708,2781815444,2806508264
RIMMA0467.1,RIMMA0467,1,NA,0,0,mays,SAH,1,2800,2.76,2699280000,1131998,1041680.167,8243,0.791317745,21359881.61,1449,0.139102197,3754757.79,3231,0.31017198,8372410.226,89757,8.616560329,232585089.7,32319,3.102583791,83747423.74,57998.83333,5.567815841,150290939.4,701709,67.36319097,1818321141,172401,21786570.72,446738438.7,2674165361,2677920118,2695525242
RIMMA0468.1,RIMMA0468,1,NA,0,0,mays,SAH,1,3150,2.77,2709060000,876259,786087,6427,0.817593981,22149111.51,1260,0.160287602,4342287.304,3199,0.406952411,11024584.99,128043,16.28865507,441269439.1,47144,5.997300553,162470470.4,43028,5.473694388,148285665.2,518708,65.98608042,1787602510,133558,16335492.07,460275561.7,2682568601,2686910888,2704717713
RIMMA0473.1,RIMMA0473,1,NA,0,0,mays,SAH,1,3104,2.75,2689500000,1458848,1326851.333,8650,0.651919306,17533369.73,1967,0.148245696,3987068.006,6715,0.506085334,13611165.05,140390,10.58068801,284567604.2,54525,4.109352618,110521038.7,77471.66667,5.838760132,157033453.8,916324,69.06003536,1857369651,235107,36063819.24,476556989.2,2667979562,2671966630,2685512932
RIMMA0614.1,RIMMA0614,1,NA,0.714285714,1,mays,MH,1,2060,3.04,2973120000,900171,824659.5,72391,8.778289706,260989086.9,1292,0.156670723,4658008.596,2896,0.351175243,10440861.37,68153,8.264380632,245709953.5,30310,3.675456355,109275728,45201.5,5.481231951,162963603.4,560471,67.96392936,2020649176,158303,1803346.726,570725026.9,2707472904,2712130913,2968461991
RIMMA0615.1,RIMMA0615,1,NA,0,0,mays,ML,1,152,2.95,2885100000,878433,810493,63554,7.841400234,226232238.2,7145,0.88156221,25433951.31,2760,0.340533478,9824731.367,60830,7.505308497,216535655.5,24667,3.043456267,87806756.75,43273,5.339096081,154038261,552191,68.13026146,1965626173,161559,2060333.552,575099193.8,2633433811,2658867762,2859666049
RIMMA0616.1,RIMMA0616,1,NA,0,0,mays,MH,1,1800,3.105,3036690000,1141124,1060251,86796,8.186363418,248594479.3,7847,0.740107767,22474778.55,4176,0.393868999,11960580.5,62166,5.863328589,178051112.9,26431,2.492900266,75701653.09,54442,5.134821849,155928621.6,713230,67.26992005,2042778935,196592,2401457.032,563063803.3,2765620742,2788095521,3014215221
RIMMA0619.1,RIMMA0619,1,NA,0,0,mays,ML,1,747,3.02,2953560000,1237978,1134779,71869,6.333303665,187057923.7,7576,0.667618981,19718527.18,4952,0.436384529,12888878.91,102682,9.048634139,267256838.5,43493,3.832728663,113201940.7,59706,5.261465008,155400525.9,770954,67.93869115,2006610006,219662,3468363.616,571727972.3,2746783549,2766502076,2933841473
RIMMA0620.1,RIMMA0620,1,NA,0,0,mays,MH,1,1799,2.99,2924220000,735468,674844.3333,58394,8.652958485,253031542.6,5788,0.857679277,25080428.96,2291,0.339485699,9927308.698,61688,9.141071052,267305027.9,26826,3.975138958,116241808.4,33797.66667,5.00821671,146451274.7,456493,67.64419251,1978065006,136728,1580130.082,592466636.2,2646108028,2671188457,2899139571
RIMMA0621.1,RIMMA0621,1,NA,1,1,mays,MH,1,1870,3.015,2948670000,790645,741271.6667,67587,9.117709881,268851176,7372,0.994507187,29324735.07,3064,0.413343736,12188142.74,30506,4.115360315,121348395,11600,1.564878373,46143099.13,37773.33333,5.095747623,150256781.4,498099,67.19520284,1981364788,141851,1555774.442,564262478.9,2650494089,2679818824,2919345265
RIMMA0623.1,RIMMA0623,1,NA,0,0,mays,MH,1,2520,2.76,2699280000,958986,879983.5,23487,2.669027317,72044520.56,2524,0.28682356,7742170.984,2841,0.322846962,8714543.489,78179,8.88414385,239807918.1,30773,3.496997387,94393751.06,48229.5,5.480727764,147940188.4,592021,67.27637507,1815977737,150701,5646289.157,462263434.8,2619493308,2627235479,2691537829
RIMMA0625.1,RIMMA0625,1,NA,0,0,mays,MH,1,2600,2.675,2616150000,140007,128327.5,4290,3.343009098,87458132.51,300,0.23377686,6115953.323,348,0.271181158,7094505.854,13969,10.88542986,284779173.2,4825,3.759911165,98364915.94,6854.5,5.341411623,139739340.2,82817,64.53566071,1688349688,21320,637748.7879,434640416.1,2522575914,2528691867,2610034047
RIMMA0626.2,RIMMA0626,2,NA,0,0,mays,MH,1,2260,2.775,2713950000,1058888,954769.8333,19435,2.035569131,55244328.43,3391,0.355164133,9638976.986,4521,0.473517265,12851021.81,114286,11.97000534,324859959.8,48456,5.075149875,137737030,55662.16667,5.829904206,158220685.2,655547,68.66021287,1863403847,170137,8358202.991,483617407.1,2649066695,2658705672,2704311023
RIMMA0628.1,RIMMA0628,1,NA,0,0,mays,ML,1,300,3.15,3080700000,697065,654104.8333,56432,8.627363249,265783179.6,4046,0.618555283,19055832.59,2688,0.410943302,12659930.3,24424,3.733958038,115032045.3,10794,1.650194197,50837532.62,32166.16667,4.917585841,151496067,442007,67.57433633,2081762579,122320,1417814.418,576102185.5,2795860988,2814916820,3061644167
