FullID,uniqid,Population,IndID,PopName,AB10Freq,ab10round,Species,Region,Group,Altitude,1C_GS,GS_bp,Total_Reads,Total_corr,180knobreads,180knob%,180knobbp,TR1total,TR1%,TR1bp,CentCreads,CentC%,CentCbp,Cpreads,CP%,CPbp,mtreads,mt%,mtbp,cDNAreads,cDNA%,cDNAbp,TotallTereads,TotallTe%,TotallTebp,TotFTereads,TotFTe%,TotFTebp,Gsnoknob,GSno180,GSnoTR1
RIMMA0467.1,RIMMA0467_1,RIMMA0467,1,NA,0,0,mays,SAH,1,2800,2.76,2699280000,1131998,1041680.167,8243,0.791317745,21359881.61,1449,0.139102197,3754757.79,3231,0.31017198,8372410.226,89757,8.616560329,232585089.7,32319,3.102583791,83747423.74,57998.83333,5.567815841,150290939.4,701709,67.36319097,1818321141,172401,21786570.72,446738438.7,2674165361,2677920118,2695525242
RIMMA0468.1,RIMMA0468_1,RIMMA0468,1,NA,0,0,mays,SAH,1,3150,2.77,2709060000,876259,786087,6427,0.817593981,22149111.51,1260,0.160287602,4342287.304,3199,0.406952411,11024584.99,128043,16.28865507,441269439.1,47144,5.997300553,162470470.4,43028,5.473694388,148285665.2,518708,65.98608042,1787602510,133558,16335492.07,460275561.7,2682568601,2686910888,2704717713
RIMMA0473.1,RIMMA0473_1,RIMMA0473,1,NA,0,0,mays,SAH,1,3104,2.75,2689500000,1458848,1326851.333,8650,0.651919306,17533369.73,1967,0.148245696,3987068.006,6715,0.506085334,13611165.05,140390,10.58068801,284567604.2,54525,4.109352618,110521038.7,77471.66667,5.838760132,157033453.8,916324,69.06003536,1857369651,235107,36063819.24,476556989.2,2667979562,2671966630,2685512932
RIMMA0614.1,RIMMA0614_1,RIMMA0614,1,NA,0.714285714,1,mays,MH,1,2060,3.04,2973120000,900171,824659.5,72391,8.778289706,260989086.9,1292,0.156670723,4658008.596,2896,0.351175243,10440861.37,68153,8.264380632,245709953.5,30310,3.675456355,109275728,45201.5,5.481231951,162963603.4,560471,67.96392936,2020649176,158303,1803346.726,570725026.9,2707472904,2712130913,2968461991
RIMMA0615.1,RIMMA0615_1,RIMMA0615,1,NA,0,0,mays,ML,1,152,2.95,2885100000,878433,810493,63554,7.841400234,226232238.2,7145,0.88156221,25433951.31,2760,0.340533478,9824731.367,60830,7.505308497,216535655.5,24667,3.043456267,87806756.75,43273,5.339096081,154038261,552191,68.13026146,1965626173,161559,2060333.552,575099193.8,2633433811,2658867762,2859666049
RIMMA0616.1,RIMMA0616_1,RIMMA0616,1,NA,0,0,mays,MH,1,1800,3.105,3036690000,1141124,1060251,86796,8.186363418,248594479.3,7847,0.740107767,22474778.55,4176,0.393868999,11960580.5,62166,5.863328589,178051112.9,26431,2.492900266,75701653.09,54442,5.134821849,155928621.6,713230,67.26992005,2042778935,196592,2401457.032,563063803.3,2765620742,2788095521,3014215221
RIMMA0619.1,RIMMA0619_1,RIMMA0619,1,NA,0,0,mays,ML,1,747,3.02,2953560000,1237978,1134779,71869,6.333303665,187057923.7,7576,0.667618981,19718527.18,4952,0.436384529,12888878.91,102682,9.048634139,267256838.5,43493,3.832728663,113201940.7,59706,5.261465008,155400525.9,770954,67.93869115,2006610006,219662,3468363.616,571727972.3,2746783549,2766502076,2933841473
RIMMA0620.1,RIMMA0620_1,RIMMA0620,1,NA,0,0,mays,MH,1,1799,2.99,2924220000,735468,674844.3333,58394,8.652958485,253031542.6,5788,0.857679277,25080428.96,2291,0.339485699,9927308.698,61688,9.141071052,267305027.9,26826,3.975138958,116241808.4,33797.66667,5.00821671,146451274.7,456493,67.64419251,1978065006,136728,1580130.082,592466636.2,2646108028,2671188457,2899139571
RIMMA0621.1,RIMMA0621_1,RIMMA0621,1,NA,1,1,mays,MH,1,1870,3.015,2948670000,790645,741271.6667,67587,9.117709881,268851176,7372,0.994507187,29324735.07,3064,0.413343736,12188142.74,30506,4.115360315,121348395,11600,1.564878373,46143099.13,37773.33333,5.095747623,150256781.4,498099,67.19520284,1981364788,141851,1555774.442,564262478.9,2650494089,2679818824,2919345265
RIMMA0623.1,RIMMA0623_1,RIMMA0623,1,NA,0,0,mays,MH,1,2520,2.76,2699280000,958986,879983.5,23487,2.669027317,72044520.56,2524,0.28682356,7742170.984,2841,0.322846962,8714543.489,78179,8.88414385,239807918.1,30773,3.496997387,94393751.06,48229.5,5.480727764,147940188.4,592021,67.27637507,1815977737,150701,5646289.157,462263434.8,2619493308,2627235479,2691537829
RIMMA0625.1,RIMMA0625_1,RIMMA0625,1,NA,0,0,mays,MH,1,2600,2.675,2616150000,140007,128327.5,4290,3.343009098,87458132.51,300,0.23377686,6115953.323,348,0.271181158,7094505.854,13969,10.88542986,284779173.2,4825,3.759911165,98364915.94,6854.5,5.341411623,139739340.2,82817,64.53566071,1688349688,21320,637748.7879,434640416.1,2522575914,2528691867,2610034047
RIMMA0626.2,RIMMA0626_2,RIMMA0626,2,NA,0,0,mays,MH,1,2260,2.775,2713950000,1058888,954769.8333,19435,2.035569131,55244328.43,3391,0.355164133,9638976.986,4521,0.473517265,12851021.81,114286,11.97000534,324859959.8,48456,5.075149875,137737030,55662.16667,5.829904206,158220685.2,655547,68.66021287,1863403847,170137,8358202.991,483617407.1,2649066695,2658705672,2704311023
RIMMA0628.1,RIMMA0628_1,RIMMA0628,1,NA,0,0,mays,ML,1,300,3.15,3080700000,697065,654104.8333,56432,8.627363249,265783179.6,4046,0.618555283,19055832.59,2688,0.410943302,12659930.3,24424,3.733958038,115032045.3,10794,1.650194197,50837532.62,32166.16667,4.917585841,151496067,442007,67.57433633,2081762579,122320,1417814.418,576102185.5,2795860988,2814916820,3061644167
RIMMA0630.1,RIMMA0630_1,RIMMA0630,1,NA,0,0,mays,MH,1,2220,2.66,2601480000,886665,819597,21423,2.613845585,67998670.13,599,0.073084699,1901283.826,3755,0.458151994,11918732.5,50200,6.124961414,159339646.2,21483,2.621166256,68189115.92,45585,5.561879802,144691190.7,564001,68.81442953,1790193621,142734,5460689.829,453051495.2,2531580046,2533481330,2599578716
RIMMA0657.1,RIMMA0657_1,RIMMA0657,1,NA,0,0,mays,SAH,1,2201,2.715,2655270000,837621,756828.3333,6626,0.875495764,23246776.38,1224,0.16172756,4294303.393,3389,0.447789789,11890027.94,89571,11.83504846,314252491.2,37452,4.948546236,131397263.6,43340.66667,5.726617881,152057166.6,524304,69.27647617,1839477489,132488,15132911.59,464823258.1,2627728920,2632023224,2650975697
RIMMA0658.1,RIMMA0658_1,RIMMA0658,1,NA,0,0,mays,SAH,1,1948,2.905,2841090000,1096760,1018195.5,15848,1.556479085,44220971.63,1915,0.18807783,5343460.416,5180,0.508743164,14453851.15,55624,5.46299802,155208690.4,22995,2.258407153,64163379.77,55569.5,5.457645413,155056618.1,705101,69.25006052,1967456545,176742,11355244.14,493166517.4,2791525568,2796869028,2835746540
RIMMA0661.1,RIMMA0661_1,RIMMA0661,1,NA,1,1,mays,SAH,1,2195,2.715,2655270000,1255875,1179537.167,11187,0.948422849,25183187.38,2035,0.172525297,4581012.454,5250,0.445089833,11818336.8,89277,7.568816187,200972505.6,35756,3.031358486,80490752.48,40581.83333,3.440487886,91354242.7,805811,68.31586344,1813970627,201466,21242212.82,453522484,2625505800,2630086813,2650688988
